SDKResource,Name
aws_iot_thing_type,Thing Type
aws_opsworks_java_app_layer,Java App Layer
aws_redshift_partner,
aws_schemas_discoverer,Discoverer
aws_amplify_domain_association,
aws_api_gateway_method_settings,
aws_cloudfront_monitoring_subscription,
aws_lex_bot_alias,
aws_lightsail_domain,
aws_vpclattice_listener,Listener
aws_appmesh_virtual_service,Virtual Service
aws_cloudwatch_event_api_destination,
aws_iot_certificate,
aws_pinpoint_apns_voip_sandbox_channel,
aws_synthetics_group_association,Group Association
aws_iam_policy,Policy
aws_iam_saml_provider,SAML Provider
aws_db_event_subscription,Event Subscription
aws_eip,EIP
aws_emrcontainers_virtual_cluster,Virtual Cluster
aws_opensearch_domain_saml_options,
aws_route53_zone_association,
aws_codebuild_report_group,Report Group
aws_security_group,Security Group
aws_kms_replica_key,Replica Key
aws_sesv2_email_identity,Email Identity
aws_shield_protection_group,Protection Group
aws_cloudfront_cache_policy,
aws_dx_connection_confirmation,
aws_gamelift_fleet,Fleet
aws_quicksight_dashboard,Dashboard
aws_ec2_serial_console_access,
aws_network_acl_rule,
aws_lb_listener_certificate,
aws_keyspaces_keyspace,Keyspace
aws_networkmanager_vpc_attachment,VPC Attachment
aws_cloudwatch_metric_stream,Metric Alarm
aws_config_configuration_recorder_status,
aws_evidently_segment,Segment
aws_imagebuilder_image,Image
aws_opsworks_mysql_layer,MySQL Layer
aws_vpclattice_service_network_vpc_association,Service Network VPC Association
aws_codeartifact_domain_permissions_policy,
aws_fsx_ontap_file_system,ONTAP File System
aws_iam_access_key,
aws_kms_key,Key
aws_s3_object,Object
aws_sagemaker_model_package_group,Model Package Group
aws_autoscalingplans_scaling_plan,
aws_vpc_ipam_resource_discovery_association,IPAM Resource Discovery Association
aws_opsworks_rails_app_layer,Rails App Layer
aws_waf_regex_pattern_set,
aws_cloudcontrolapi_resource,
aws_vpn_gateway_route_propagation,
aws_imagebuilder_distribution_configuration,Distribution Configuration
aws_iot_thing,
aws_memorydb_subnet_group,Subnet Group
aws_sagemaker_human_task_ui,Human Task UI
aws_s3control_object_lambda_access_point_policy,
aws_sagemaker_notebook_instance_lifecycle_configuration,
aws_cognito_resource_server,
aws_key_pair,Key Pair
aws_lightsail_lb,LB
aws_opsworks_memcached_layer,Memcached Layer
aws_rum_metrics_destination,
aws_s3_bucket,Bucket
aws_vpclattice_service_network,ServiceNetwork
aws_vpn_gateway_attachment,
aws_iam_account_alias,
aws_licensemanager_grant_accepter,
aws_pipes_pipe,Pipe
aws_securityhub_standards_control,
aws_storagegateway_stored_iscsi_volume,Stored iSCSI Volume
aws_transfer_tag,
aws_appconfig_environment,Environment
aws_connect_instance_storage_config,
aws_ecr_lifecycle_policy,
aws_iam_group_policy,
aws_redshift_event_subscription,Event Subscription
aws_service_discovery_private_dns_namespace,Private DNS Namespace
aws_appsync_function,
aws_chime_voice_connector_termination_credentials,
aws_docdb_global_cluster,
aws_redshift_cluster,Cluster
aws_s3_bucket_replication_configuration,
aws_servicecatalog_provisioning_artifact,
aws_cloudtrail_event_data_store,Event Data Store
aws_ecr_registry_scanning_configuration,
aws_imagebuilder_infrastructure_configuration,Infrastructure Configuration
aws_chime_voice_connector_termination,
aws_iam_virtual_mfa_device,Virtual MFA Device
aws_redshiftserverless_endpoint_access,
aws_s3_bucket_public_access_block,
aws_securityhub_insight,
aws_wafregional_rule_group,Rule Group
aws_redshiftdata_statement,
aws_connect_routing_profile,Routing Profile
aws_docdb_cluster,Cluster
aws_elb,Classic Load Balancer
aws_gamelift_script,Script
aws_kendra_faq,FAQ
aws_kinesis_stream_consumer,
aws_appintegrations_data_integration,Data Integration
aws_spot_instance_request,Spot Instance Request
aws_eks_fargate_profile,Fargate Profile
aws_mq_configuration,Configuration
aws_opsworks_stack,Stack
aws_networkmanager_connect_attachment,Connect Attachment
aws_opsworks_rds_db_instance,
aws_rds_cluster_instance,Cluster Instance
aws_s3control_bucket,Bucket
aws_schemas_registry_policy,
aws_cloudfront_public_key,
aws_config_delivery_channel,
aws_vpn_gateway,VPN Gateway
aws_guardduty_member,
aws_pinpoint_sms_channel,
aws_redshift_scheduled_action,
aws_servicecatalog_constraint,
aws_ssm_maintenance_window,Maintenance Window
aws_connect_user_hierarchy_group,User Hierarchy Group
aws_route53_resolver_query_log_config,Query Log Config
aws_apigatewayv2_authorizer,
aws_connect_lambda_function_association,
aws_customer_gateway,Customer Gateway
aws_neptune_event_subscription,Event Subscription
aws_wafv2_web_acl,Web ACL
aws_chime_voice_connector_logging,
aws_codepipeline_webhook,Webhook
aws_ec2_fleet,Fleet
aws_lb_cookie_stickiness_policy,
aws_lambda_function_url,
aws_location_map,Map
aws_s3outposts_endpoint,
aws_servicecatalog_tag_option,
aws_codebuild_source_credential,
aws_dx_transit_virtual_interface,Transit Virtual Interface
aws_kms_ciphertext,
aws_lakeformation_resource_lf_tags,
aws_db_snapshot_copy,DB Snapshot
aws_route53_resolver_firewall_domain_list,Firewall Domain List
aws_autoscaling_group_tag,
aws_globalaccelerator_accelerator,Accelerator
aws_cloudwatch_log_destination_policy,
aws_route53_resolver_firewall_rule_group_association,Rule Group Association
aws_service_discovery_http_namespace,HTTP Namespace
aws_cloudfront_origin_request_policy,
aws_lb_listener,Listener
aws_globalaccelerator_endpoint_group,
aws_glue_data_catalog_encryption_settings,
aws_grafana_role_association,
aws_resourcegroups_group,Group
aws_ssm_default_patch_baseline,
aws_vpc_ipam_preview_next_cidr,
aws_ecrpublic_repository_policy,
aws_ecs_tag,
aws_mskconnect_worker_configuration,
aws_sagemaker_feature_group,Feature Group
aws_emr_instance_group,
aws_inspector2_enabler,
aws_route53_resolver_dnssec_config,
aws_s3_account_public_access_block,
aws_appflow_connector_profile,
aws_elastictranscoder_pipeline,
aws_grafana_workspace,Workspace
aws_ram_principal_association,
aws_redshiftserverless_workgroup,Workgroup
aws_apigatewayv2_integration,
aws_docdb_cluster_snapshot,
aws_networkmanager_global_network,Global Network
aws_route53_delegation_set,
aws_s3_bucket_analytics_configuration,
aws_s3_bucket_website_configuration,
aws_prometheus_alert_manager_definition,
aws_quicksight_user,User
aws_route53domains_registered_domain,Registered Domain
aws_ec2_transit_gateway_multicast_group_member,
aws_app_cookie_stickiness_policy,
aws_evidently_feature,Feature
aws_opsworks_permission,
aws_devicefarm_project,Project
aws_s3_bucket_ownership_controls,
aws_servicecatalog_organizations_access,
aws_sns_topic_subscription,
aws_batch_job_queue,Job Queue
aws_vpc_endpoint_connection_notification,
aws_location_route_calculator,Route Calculator
aws_servicequotas_service_quota,
aws_appintegrations_event_integration,Event Integration
aws_dx_hosted_transit_virtual_interface,
aws_ec2_local_gateway_route_table_vpc_association,Local Gateway Route Table VPC Association
aws_swf_domain,Domain
aws_redshift_endpoint_authorization,
aws_storagegateway_gateway,Gateway
aws_backup_region_settings,
aws_ce_anomaly_subscription,Anomaly Subscription
aws_connect_contact_flow,Contact Flow
aws_vpc_ipam_scope,IPAM Scope
aws_ecr_pull_through_cache_rule,
aws_glue_partition,
aws_cloudwatch_dashboard,
aws_ec2_transit_gateway_policy_table_association,
aws_guardduty_organization_configuration,
aws_db_cluster_snapshot,Cluster Snapshot
aws_db_proxy_default_target_group,
aws_amplify_backend_environment,
aws_redshift_parameter_group,Parameter Group
aws_vpc_dhcp_options_association,
aws_iam_user_policy_attachment,
aws_macie2_classification_export_configuration,
aws_sagemaker_space,Space
aws_synthetics_canary,Canary
aws_wafregional_sql_injection_match_set,
aws_config_aggregate_authorization,Aggregate Authorization
aws_datasync_location_hdfs,Location HDFS
aws_ec2_traffic_mirror_filter,Traffic Mirror Filter
aws_proxy_protocol_policy,
aws_ram_resource_share_accepter,
aws_servicecatalog_portfolio,Portfolio
aws_apigatewayv2_route,
aws_cloudformation_stack_set,Stack Set
aws_devicefarm_network_profile,Network Profile
aws_ami,AMI
aws_fms_admin_account,
aws_sagemaker_data_quality_job_definition,Data Quality Job Definition
aws_backup_global_settings,
aws_cognito_identity_provider,
aws_main_route_table_association,
aws_cloudfront_response_headers_policy,
aws_docdb_subnet_group,Subnet Group
aws_route53_resolver_endpoint,Endpoint
aws_ssm_maintenance_window_task,
aws_storagegateway_file_system_association,File System Association
aws_directory_service_conditional_forwarder,
aws_lex_slot_type,
aws_memorydb_cluster,Cluster
aws_route53_resolver_firewall_config,
aws_secretsmanager_secret_policy,
aws_waf_sql_injection_match_set,
aws_macie2_organization_admin_account,
aws_networkfirewall_logging_configuration,
aws_opsworks_application,
aws_db_instance,DB Instance
aws_vpclattice_service_network_service_association,Service Network Service Association
aws_batch_scheduling_policy,Job Definition
aws_lakeformation_permissions,
aws_schemas_schema,Schema
aws_ses_identity_policy,
aws_waf_ipset,
aws_ec2_transit_gateway_multicast_domain_association,
aws_api_gateway_resource,
aws_apprunner_vpc_ingress_connection,VPC Ingress Connection
aws_vpc_ipv6_cidr_block_association,
aws_networkmanager_device,Device
aws_ce_cost_category,Cost Category
aws_lightsail_instance,Instance
aws_ssm_maintenance_window_target,
aws_sesv2_email_identity_feedback_attributes,
aws_waf_web_acl,Web ACL
aws_cloudwatch_composite_alarm,Composite Alarm
aws_iot_policy,
aws_lightsail_disk,Disk
aws_networkfirewall_firewall,Firewall
aws_ses_domain_mail_from,
aws_sesv2_dedicated_ip_pool,Dedicated IP Pool
aws_api_gateway_usage_plan,Usage Plan
aws_cloudhsm_v2_hsm,
aws_kinesis_firehose_delivery_stream,Delivery Stream
aws_db_instance_role_association,
aws_ssmcontacts_contact_channel,Contact Channel
aws_ssmincidents_response_plan,Response Plan
aws_api_gateway_documentation_version,
aws_appconfig_extension,Extension
aws_connect_security_profile,Security Profile
aws_glue_data_quality_ruleset,Data Quality Ruleset
aws_lakeformation_data_lake_settings,
aws_route53_resolver_firewall_rule_group,Firewall Rule Group
aws_apprunner_custom_domain_association,
aws_connect_quick_connect,Quick Connect
aws_ec2_traffic_mirror_session,Traffic Mirror Session
aws_ssoadmin_account_assignment,
aws_apigatewayv2_domain_name,Domain Name
aws_appconfig_configuration_profile,Connection Profile
aws_instance,Instance
aws_ec2_network_insights_path,Network Insights Path
aws_ecs_task_definition,Task Definition
aws_servicecatalog_service_action,
aws_datapipeline_pipeline_definition,
aws_ec2_tag,
aws_media_store_container_policy,
aws_opsworks_user_profile,
aws_waf_regex_match_set,
aws_appautoscaling_target,Target
aws_config_config_rule,Config Rule
aws_datasync_task,Task
aws_alb_target_group_attachment,
aws_pinpoint_apns_channel,
aws_waf_rule_group,Rule Group
aws_network_interface_attachment,
aws_vpc_peering_connection,VPC Peering Connection
aws_lightsail_container_service_deployment_version,
aws_opensearch_inbound_connection_accepter,
aws_waf_rate_based_rule,Rate Based Rule
aws_ecs_task_set,Task Set
aws_load_balancer_listener_policy,
aws_redshift_usage_limit,Usage Limit
aws_sfn_activity,Activity
aws_apprunner_vpc_connector,VPC Connector
aws_ec2_transit_gateway_route,
aws_vpc_ipv4_cidr_block_association,
aws_eks_cluster,Cluster
aws_rds_reserved_instance,Reserved Instance
aws_wafv2_web_acl_logging_configuration,
aws_apigatewayv2_api_mapping,
aws_elastic_beanstalk_configuration_template,
aws_iam_signing_certificate,
aws_lambda_code_signing_config,
aws_neptune_cluster,Cluster
aws_appconfig_hosted_configuration_version,
aws_dax_subnet_group,
aws_alb,Load Balancer
aws_opsworks_php_app_layer,PHP App Layer
aws_pinpoint_baidu_channel,
aws_ssmcontacts_plan,Plan
aws_cognito_user,
aws_ecs_cluster_capacity_providers,
aws_oam_sink,Sink
aws_route53recoverycontrolconfig_cluster,
aws_sesv2_configuration_set_event_destination,
aws_globalaccelerator_custom_routing_listener,
aws_wafv2_ip_set,IP Set
aws_appsync_datasource,
aws_ami_from_instance,AMI
aws_alb_listener_rule,Listener Rule
aws_iot_thing_group_membership,
aws_sagemaker_app,App
aws_lex_bot,
aws_s3control_access_point_policy,
aws_appconfig_deployment,Deployment
aws_elasticache_user_group_association,
aws_organizations_organizational_unit,Organizational Unit
aws_api_gateway_usage_plan_key,
aws_ses_template,
aws_apigatewayv2_api,API
aws_appmesh_route,Route
aws_sns_topic,Topic
aws_workspaces_directory,Directory
aws_dms_s3_endpoint,S3 Endpoint
aws_elastic_beanstalk_environment,Environment
aws_licensemanager_association,
aws_mq_broker,Broker
aws_route53recoveryreadiness_readiness_check,Readiness Check
aws_vpc_ipam_resource_discovery,IPAM Resource Discovery
aws_elb_attachment,
aws_networkfirewall_firewall_policy,Firewall Policy
aws_sns_topic_policy,
aws_wafv2_web_acl_association,
aws_glue_catalog_database,Database
aws_cloudwatch_log_metric_filter,
aws_redshift_authentication_profile,
aws_s3_bucket_cors_configuration,
aws_amplify_app,App
aws_apigatewayv2_deployment,
aws_appautoscaling_scheduled_action,
aws_fms_policy,Policy
aws_networkmanager_core_network_policy_attachment,
aws_networkmanager_transit_gateway_peering,Transit Gateway Peering
aws_budgets_budget,
aws_dataexchange_revision,Revision
aws_ecs_capacity_provider,Capacity Provider
aws_alb_target_group,Target Group
aws_msk_scram_secret_association,
aws_neptune_subnet_group,Subnet Group
aws_rds_cluster_endpoint,Cluster Endpoint
aws_vpclattice_service,Service
aws_wafregional_size_constraint_set,
aws_appsync_domain_name,
aws_glue_security_configuration,
aws_medialive_channel,Channel
aws_rds_cluster,Cluster
aws_appsync_api_cache,
aws_appsync_domain_name_api_association,
aws_codebuild_webhook,
aws_spot_datafeed_subscription,
aws_eks_identity_provider_config,Identity Provider Config
aws_inspector_resource_group,
aws_dms_replication_task,Replication Task
aws_lightsail_key_pair,
aws_macie2_findings_filter,Findings Filter
aws_s3control_bucket_lifecycle_configuration,
aws_sfn_state_machine,State Machine
aws_service_discovery_service,Service
aws_ses_identity_notification_topic,
aws_vpc_peering_connection_options,
aws_fsx_openzfs_snapshot,OpenZFS Snapshot
aws_mskconnect_connector,
aws_memorydb_user,User
aws_quicksight_template,Template
aws_redshift_hsm_configuration,HSM Configuration
aws_cognito_identity_pool_roles_attachment,
aws_inspector2_member_association,
aws_quicksight_folder,Folder
aws_route53recoverycontrolconfig_control_panel,
aws_transcribe_medical_vocabulary,Medical Vocabulary
aws_gamelift_alias,Alias
aws_media_package_channel,Channel
aws_route53recoverycontrolconfig_routing_control,
aws_apprunner_service,Service
aws_datapipeline_pipeline,Pipeline
aws_dx_gateway,
aws_networkfirewall_rule_group,Rule Group
aws_networkmanager_transit_gateway_route_table_attachment,Transit Gateway Route Table Attachment
aws_organizations_policy,Policy
aws_applicationinsights_application,Application
aws_chime_voice_connector,
aws_vpc_dhcp_options,DHCP Options
aws_vpn_connection_route,
aws_iam_group_policy_attachment,
aws_neptune_cluster_snapshot,
aws_route53_resolver_query_log_config_association,
aws_codestarnotifications_notification_rule,Notification Rule
aws_emrcontainers_job_template,Job Template
aws_grafana_license_association,
aws_location_tracker_association,
aws_opsworks_ecs_cluster_layer,ECS Cluster Layer
aws_acmpca_certificate_authority,Certificate Authority
aws_autoscaling_group,
aws_vpc_ipam,IPAM
aws_neptune_cluster_endpoint,Cluster Endpoint
aws_rum_app_monitor,App Monitor
aws_securityhub_invite_accepter,
aws_glue_user_defined_function,
aws_cloudsearch_domain_service_access_policy,
aws_codeartifact_repository_permissions_policy,
aws_globalaccelerator_custom_routing_endpoint_group,
aws_storagegateway_cache,
aws_lambda_function,Function
aws_quicksight_account_subscription,Account Subscription
aws_transfer_ssh_key,
aws_storagegateway_smb_file_share,SMB File Share
aws_xray_group,Group
aws_acmpca_certificate,
aws_api_gateway_method,
aws_cur_report_definition,
aws_cloudwatch_event_rule,Rule
aws_fsx_openzfs_file_system,OpenZFS File System
aws_db_option_group,DB Option Group
aws_dms_endpoint,Endpoint
aws_ami_launch_permission,
aws_imagebuilder_image_pipeline,Image Pipeline
aws_s3_bucket_intelligent_tiering_configuration,
aws_vpclattice_auth_policy,
aws_db_parameter_group,DB Parameter Group
aws_api_gateway_authorizer,
aws_dms_replication_subnet_group,Replication Subnet Group
aws_ec2_managed_prefix_list_entry,
aws_load_balancer_backend_server_policy,
aws_ivschat_logging_configuration,Logging Configuration
aws_lightsail_domain_entry,
aws_workspaces_ip_group,IP Group
aws_api_gateway_client_certificate,Client Certificate
aws_iam_openid_connect_provider,OIDC Provider
aws_inspector2_delegated_admin_account,
aws_opsworks_haproxy_layer,HAProxy Layer
aws_rbin_rule,Rule
aws_sagemaker_domain,Domain
aws_ec2_transit_gateway_route_table,Transit Gateway Route Table
aws_cloudwatch_event_endpoint,Global Endpoint
aws_ssm_association,
aws_snapshot_create_volume_permission,
aws_ec2_transit_gateway_vpc_attachment_accepter,Transit Gateway VPC Attachment
aws_default_vpc,VPC
aws_kendra_thesaurus,Thesaurus
aws_timestreamwrite_table,Table
aws_cloudwatch_event_permission,
aws_evidently_project,Project
aws_glue_resource_policy,
aws_kms_grant,
aws_servicecatalog_product_portfolio_association,
aws_service_discovery_instance,
aws_appmesh_virtual_gateway,Virtual Gateway
aws_ec2_transit_gateway_prefix_list_reference,
aws_iam_user,User
aws_docdb_cluster_instance,Cluster Instance
aws_identitystore_user,
aws_inspector_assessment_template,Assessment Template
aws_msk_serverless_cluster,Serverless Cluster
aws_media_store_container,Container
aws_networkmanager_site,Site
aws_connect_bot_association,
aws_ec2_transit_gateway_peering_attachment_accepter,Transit Gateway Peering Attachment
aws_elastic_beanstalk_application_version,Application Version
aws_pinpoint_app,App
aws_route53_key_signing_key,
aws_servicecatalog_tag_option_resource_association,
aws_apprunner_observability_configuration,Observability Configuration
aws_config_configuration_recorder,
aws_eks_addon,Add-On
aws_iam_instance_profile,Instance Profile
aws_lambda_layer_version,
aws_pinpoint_event_stream,
aws_fis_experiment_template,Experiment Template
aws_kendra_index,Index
